# symbol->address linker-facts table (bead evm-asm-4ch8f.6, wave .9.3)
# Regenerate: scripts/gen-symbol-addresses.py --build
# columns: unit	symbol	address	section	stability
# STABLE addresses are pinned by codegen/linker flags; LINK_DEPENDENT
# addresses move on any .text/.data size change and MUST be read from the ELF.
stateless_guest	block_validate_withdrawals_root_indexed	0x8000a820	.text	LINK_DEPENDENT
stateless_guest	validate_header_basic	0x8000a8fc	.text	LINK_DEPENDENT
stateless_guest	check_gas_limit	0x8000a948	.text	LINK_DEPENDENT
stateless_guest	header_validate_post_merge	0x8000a984	.text	LINK_DEPENDENT
stateless_guest	header_validate_extra_data_length	0x8000ab80	.text	LINK_DEPENDENT
stateless_guest	amsterdam_blob_gas_price	0x8000abd8	.text	LINK_DEPENDENT
stateless_guest	amsterdam_blob_gas_price_u256	0x8000acb4	.text	LINK_DEPENDENT
stateless_guest	eip1559_calc_base_fee_per_gas	0x8000ada8	.text	LINK_DEPENDENT
stateless_guest	header_validate_base_fee	0x8000aedc	.text	LINK_DEPENDENT
stateless_guest	header_validate_excess_blob_gas	0x8000af40	.text	LINK_DEPENDENT
stateless_guest	validate_header_full	0x8000b05c	.text	LINK_DEPENDENT
stateless_guest	header_extended_decode	0x8000b154	.text	LINK_DEPENDENT
stateless_guest	headers_parent_hash	0x8000b40c	.text	LINK_DEPENDENT
stateless_guest	header_validate_parent_hash	0x8000b48c	.text	LINK_DEPENDENT
stateless_guest	validate_header_rlp_pair	0x8000b538	.text	LINK_DEPENDENT
stateless_guest	bhr_rev_le_be	0x8000b5f0	.text	LINK_DEPENDENT
stateless_guest	block_header_ssz_to_rlp	0x8000b61c	.text	LINK_DEPENDENT
stateless_guest	rlp_bytes_encoded_size	0x8000bbac	.text	LINK_DEPENDENT
stateless_guest	rlp_list_encoded_size	0x8000bbfc	.text	LINK_DEPENDENT
stateless_guest	block_rlp_rebuilt_size	0x8000bc30	.text	LINK_DEPENDENT
stateless_guest	bah_u32le	0x8000be4c	.text	LINK_DEPENDENT
stateless_guest	block_access_list_hash	0x8000be7c	.text	LINK_DEPENDENT
stateless_guest	block_hash_from_header	0x8000bf00	.text	LINK_DEPENDENT
stateless_guest	execution_requests_hash	0x8000bf18	.text	LINK_DEPENDENT
stateless_guest	erh_hash_one	0x8000c134	.text	LINK_DEPENDENT
stateless_guest	step2_verdict	0x8000c190	.text	LINK_DEPENDENT
stateless_guest	header_extract_state_root	0x8000c27c	.text	LINK_DEPENDENT
stateless_guest	eph_u32le	0x8000c38c	.text	LINK_DEPENDENT
stateless_guest	extract_parent_header_and_state_root	0x8000c3bc	.text	LINK_DEPENDENT
stateless_guest	spw_u32le	0x8000c4a8	.text	LINK_DEPENDENT
stateless_guest	extract_payload_and_withdrawals	0x8000c4d8	.text	LINK_DEPENDENT
stateless_guest	sws_u32le	0x8000c5ac	.text	LINK_DEPENDENT
stateless_guest	extract_witness_state_section	0x8000c5dc	.text	LINK_DEPENDENT
stateless_guest	swr_rev_le_be	0x8000c648	.text	LINK_DEPENDENT
stateless_guest	ssz_withdrawal_to_rlp	0x8000c674	.text	LINK_DEPENDENT
stateless_guest	stateless_verdict_from_ssz	0x8000c7dc	.text	LINK_DEPENDENT
stateless_guest	single_leaf_trie_root	0x8000c9cc	.text	LINK_DEPENDENT
stateless_guest	storage_root_single_slot	0x8000cb88	.text	LINK_DEPENDENT
stateless_guest	account_set_storage_root	0x8000cc28	.text	LINK_DEPENDENT
stateless_guest	account_apply_storage_slot	0x8000ccd4	.text	LINK_DEPENDENT
stateless_guest	account_apply_storage_slot_acc	0x8000cdfc	.text	LINK_DEPENDENT
stateless_guest	swd_read_u64le	0x8000d128	.text	LINK_DEPENDENT
stateless_guest	swd_write_be32_u64	0x8000d188	.text	LINK_DEPENDENT
stateless_guest	swd_write_be8	0x8000d1dc	.text	LINK_DEPENDENT
stateless_guest	swd_minimal_copy	0x8000d210	.text	LINK_DEPENDENT
stateless_guest	system_write_descriptors	0x8000d25c	.text	LINK_DEPENDENT
stateless_guest	account_set_uint_field	0x8000d364	.text	LINK_DEPENDENT
stateless_guest	account_is_eip161_empty	0x8000d428	.text	LINK_DEPENDENT
